state,year,On Premises,Bottles and Cans,Kegs and Barrels
AK,2008,2067.69,81218.75,50920.35
AK,2009,2263.65,89762.16,52278.05
AK,2010,1929.1499999999999,80889.21,54395.32
AK,2011,2251.02,94781.57,58519.66
AK,2012,2312.43,105416.32,65679.13
AK,2013,2155.6,112008.59,68867.58
AK,2014,2114.9700000000003,129181.74,73823.62
AK,2015,4511.4800000000005,126309.22,74606.28
AK,2016,13315.93,115823.75,69473.78
AK,2017,15974.099999999999,109652.22,66217.06
AK,2018,30620.23,100038.94,62922.15
AK,2019,32849.37,92235.04,55454.19
AL,2008,723.53,NA,157.33
AL,2009,238.6,NA,459.88
AL,2010,161.24,NA,547.69
AL,2011,0,658.96,1810.06
AL,2012,46.5,2485.79,6453.45
AL,2013,130.55,6634.43,11747.74
AL,2014,226.25,9521.26,13749.96
AL,2015,6109.99,10543,11465.23
AL,2016,23810.78,9977.46,11846.23
AL,2017,29160.56,11797.8,8771.22
AL,2018,41718.659999999996,14241.33,9873.67
AL,2019,47160.08,15337.81,9014.92
AR,2008,1328.35,1206.73,882.83
AR,2009,1279.3400000000001,1269.26,1081.95
AR,2010,1331.85,1445.82,1318.17
AR,2011,1124.98,1382.06,1144.17
AR,2012,1265.9299999999998,8,125.94
AR,2013,558.14,8,1078.21
AR,2014,657.12,800.09,2787.48
AR,2015,1609.38,872.11,6965.83
AR,2016,6091.89,1737.1,9058.3
AR,2017,13441.2,8723.15,4824.97
AR,2018,25150.46,1668.5,1623.57
AR,2019,16568.73,10033.89,3959.08
AZ,2008,14857.81,6980.87,18635.98
AZ,2009,15640.689999999999,7383.27,18303.18
AZ,2010,16800.24,10380.26,24410.52
AZ,2011,19897.83,14057.56,32848.92
AZ,2012,19165.96,18411.25,44792.72
AZ,2013,18763.52,22318.65,59074.04
AZ,2014,17173,29645.05,80214.06
AZ,2015,29869.1,44032.85,74997.94
AZ,2016,41613.95,59031.78,71863.7
AZ,2017,45424.11,66483.94,70469.77
AZ,2018,47009.71,56861.38,71892.05
AZ,2019,49699.26,213919.27,88478.11
CA,2008,61172.74,20082718.48,2005517.01
CA,2009,54504.99,19452836.45,2070667.22
CA,2010,58276.38,19095643.27,2198550.1
CA,2011,65069.700000000004,18204514.85,2166028.35
CA,2012,64239.95,18940276.02,2272768.96
CA,2013,60559.56,17838853.36,2388676.84
CA,2014,65035.4,18052809.23,2330092.84
CA,2015,124974.7,17701780.59,2220498.84
CA,2016,201066.01,17569308.63,2165833.96
CA,2017,293554.62,16705423.6,2178070.92
CA,2018,359636.06,16122748.84,2054263.98
CA,2019,399692.97,15495820.4,1977084
CO,2008,48528.59,24182900.4,2564428.26
CO,2009,49895.79,21095113.55,2285814.82
CO,2010,50584.87,18742266.67,2279812.02
CO,2011,60811.369999999995,18820319.55,2277201.65
CO,2012,57966.729999999996,19267902.29,2290799.82
CO,2013,60133.43,18549122.13,2177094.68
CO,2014,72839.26,18035909.8,2207491.04
CO,2015,121814.79000000001,17755216.77,2083226.02
CO,2016,141312.55,18105206.85,1898362.52
CO,2017,163026.9,17964522.31,1560670.89
CO,2018,176577.49,16457400.82,1598523.94
CO,2019,175934.31,17351292.18,1570358.69
CT,2008,2205.67,1985.86,3851.71
